targetId,comparatorId,outcomeId,outcomeName,type
726,725,378256,Abnormal reflex,outcome
726,725,440424,Aphasia,outcome
726,725,439237,Assault,outcome
726,725,378424,Astigmatism,outcome
726,725,261880,Atelectasis,outcome
726,725,134118,Atrophic condition of skin,outcome
726,725,4224118,Bladder dysfunction,outcome
726,725,80509,Bone cyst,outcome
726,725,434626,Borderline personality disorder,outcome
726,725,438407,Bulimia nervosa,outcome
726,725,134765,Cachexia,outcome
726,725,4172458,Candidiasis of skin,outcome
726,725,436740,Cervical incompetence,outcome
726,725,381581,Chalazion,outcome
726,725,4307254,Closed fracture,outcome
726,725,4047787,Colles' fracture,outcome
726,725,198075,Condyloma acuminatum,outcome
726,725,73302,Curvature of spine,outcome
726,725,4242416,Cutis laxa,outcome
726,725,433163,Deficiency of macronutrients,outcome
726,725,4047269,Deformity of foot,outcome
726,725,133228,Dental caries,outcome
726,725,4147672,Disease due to Papilloma virus,outcome
726,725,4153380,Disorder of carotid artery,outcome
726,725,4140510,Disorder of lymphatic vessel,outcome
726,725,433440,Dysthymia,outcome
726,725,376132,Ectropion,outcome
726,725,440695,Encopresis,outcome
726,725,438872,Excessive eating - polyphagia,outcome
726,725,78804,Fibrocystic disease of breast,outcome
726,725,4131595,Fracture of radius,outcome
726,725,74855,Genital herpes simplex,outcome
726,725,441788,Human papilloma virus infection,outcome
726,725,76737,Hydrocele,outcome
726,725,4029582,Hyperandrogenization syndrome,outcome
726,725,195212,Hypercortisolism,outcome
726,725,438134,Hypersomnia,outcome
726,725,140362,Hypoparathyroidism,outcome
726,725,4322737,Infection of tooth,outcome
726,725,4207688,Infectious enteritis,outcome
726,725,79072,Inflammatory disorder of breast,outcome
726,725,139099,Ingrowing nail,outcome
726,725,4288544,Inguinal hernia,outcome
726,725,444191,Injury of face,outcome
726,725,444130,Injury of foot,outcome
726,725,134222,Injury of forearm,outcome
726,725,4029966,Intracranial aneurysm,outcome
726,725,437409,Intracranial injury,outcome
726,725,4297984,Local infection of wound,outcome
726,725,4018050,Localized infection,outcome
726,725,439840,Lymphangitis,outcome
726,725,4163232,Mastitis,outcome
726,725,440389,Mental retardation,outcome
726,725,436100,Narcolepsy,outcome
726,725,4262178,Neurogenic dysfunction of the urinary bladder,outcome
726,725,193874,Nocturnal enuresis,outcome
726,725,4171549,Nodular goiter,outcome
726,725,442274,Oligomenorrhea,outcome
726,725,4215978,Onychomycosis,outcome
726,725,4171915,Orchitis,outcome
726,725,380731,Otitis externa,outcome
726,725,378160,Otorrhea,outcome
726,725,192606,Paraplegia,outcome
726,725,253796,Pneumothorax,outcome
726,725,195501,Polycystic ovaries,outcome
726,725,4153877,Post-traumatic wound infection,outcome
726,725,434319,Premature ejaculation,outcome
726,725,373478,Presbyopia,outcome
726,725,199876,Prolapse of female genital organs,outcome
726,725,4295888,Prolapse of intestine,outcome
726,725,194997,Prostatitis,outcome
726,725,4146239,Pruritus of genital organs,outcome
726,725,4285569,Pupillary disorder,outcome
726,725,81336,Rectal prolapse,outcome
726,725,380395,Retinal dystrophy,outcome
726,725,141825,Simple goiter,outcome
726,725,137054,Skin striae,outcome
726,725,434630,Sleep-wake schedule disorder,outcome
726,725,4195698,Tenosynovitis,outcome
726,725,4339088,Testicular mass,outcome
726,725,133141,Tinea pedis,outcome
726,725,440814,Torticollis,outcome
726,725,435140,Toxic effect of alcohol,outcome
726,725,4270490,Tracheitis,outcome
726,725,4028970,Tracheobronchitis,outcome
726,725,193326,Urge incontinence of urine,outcome
726,725,4092565,Uterine prolapse,outcome
726,725,140641,Verruca vulgaris,outcome
726,725,197036,Vesicoureteric reflux,outcome
726,725,261326,Viral pneumonia,outcome
