targetId,comparatorId,outcomeId,outcomeName,type
500,547,378256,Abnormal reflex,outcome
500,547,440424,Aphasia,outcome
500,547,439237,Assault,outcome
500,547,378424,Astigmatism,outcome
500,547,261880,Atelectasis,outcome
500,547,134118,Atrophic condition of skin,outcome
500,547,4224118,Bladder dysfunction,outcome
500,547,80509,Bone cyst,outcome
500,547,434626,Borderline personality disorder,outcome
500,547,438407,Bulimia nervosa,outcome
500,547,134765,Cachexia,outcome
500,547,4172458,Candidiasis of skin,outcome
500,547,436740,Cervical incompetence,outcome
500,547,381581,Chalazion,outcome
500,547,4307254,Closed fracture,outcome
500,547,4047787,Colles' fracture,outcome
500,547,198075,Condyloma acuminatum,outcome
500,547,73302,Curvature of spine,outcome
500,547,4242416,Cutis laxa,outcome
500,547,433163,Deficiency of macronutrients,outcome
500,547,4047269,Deformity of foot,outcome
500,547,133228,Dental caries,outcome
500,547,4147672,Disease due to Papilloma virus,outcome
500,547,4153380,Disorder of carotid artery,outcome
500,547,4140510,Disorder of lymphatic vessel,outcome
500,547,433440,Dysthymia,outcome
500,547,376132,Ectropion,outcome
500,547,440695,Encopresis,outcome
500,547,438872,Excessive eating - polyphagia,outcome
500,547,78804,Fibrocystic disease of breast,outcome
500,547,4131595,Fracture of radius,outcome
500,547,74855,Genital herpes simplex,outcome
500,547,441788,Human papilloma virus infection,outcome
500,547,76737,Hydrocele,outcome
500,547,4029582,Hyperandrogenization syndrome,outcome
500,547,195212,Hypercortisolism,outcome
500,547,438134,Hypersomnia,outcome
500,547,140362,Hypoparathyroidism,outcome
500,547,4322737,Infection of tooth,outcome
500,547,4207688,Infectious enteritis,outcome
500,547,79072,Inflammatory disorder of breast,outcome
500,547,139099,Ingrowing nail,outcome
500,547,4288544,Inguinal hernia,outcome
500,547,444191,Injury of face,outcome
500,547,444130,Injury of foot,outcome
500,547,134222,Injury of forearm,outcome
500,547,4029966,Intracranial aneurysm,outcome
500,547,437409,Intracranial injury,outcome
500,547,4297984,Local infection of wound,outcome
500,547,4018050,Localized infection,outcome
500,547,439840,Lymphangitis,outcome
500,547,4163232,Mastitis,outcome
500,547,440389,Mental retardation,outcome
500,547,436100,Narcolepsy,outcome
500,547,4262178,Neurogenic dysfunction of the urinary bladder,outcome
500,547,193874,Nocturnal enuresis,outcome
500,547,4171549,Nodular goiter,outcome
500,547,442274,Oligomenorrhea,outcome
500,547,4215978,Onychomycosis,outcome
500,547,4171915,Orchitis,outcome
500,547,380731,Otitis externa,outcome
500,547,378160,Otorrhea,outcome
500,547,192606,Paraplegia,outcome
500,547,253796,Pneumothorax,outcome
500,547,195501,Polycystic ovaries,outcome
500,547,4153877,Post-traumatic wound infection,outcome
500,547,434319,Premature ejaculation,outcome
500,547,373478,Presbyopia,outcome
500,547,199876,Prolapse of female genital organs,outcome
500,547,4295888,Prolapse of intestine,outcome
500,547,194997,Prostatitis,outcome
500,547,4146239,Pruritus of genital organs,outcome
500,547,4285569,Pupillary disorder,outcome
500,547,81336,Rectal prolapse,outcome
500,547,380395,Retinal dystrophy,outcome
500,547,141825,Simple goiter,outcome
500,547,137054,Skin striae,outcome
500,547,434630,Sleep-wake schedule disorder,outcome
500,547,4195698,Tenosynovitis,outcome
500,547,4339088,Testicular mass,outcome
500,547,133141,Tinea pedis,outcome
500,547,440814,Torticollis,outcome
500,547,435140,Toxic effect of alcohol,outcome
500,547,4270490,Tracheitis,outcome
500,547,4028970,Tracheobronchitis,outcome
500,547,193326,Urge incontinence of urine,outcome
500,547,4092565,Uterine prolapse,outcome
500,547,140641,Verruca vulgaris,outcome
500,547,197036,Vesicoureteric reflux,outcome
500,547,261326,Viral pneumonia,outcome
