targetId,comparatorId,outcomeId,outcomeName,type
466,465,378256,Abnormal reflex,outcome
466,465,440424,Aphasia,outcome
466,465,439237,Assault,outcome
466,465,378424,Astigmatism,outcome
466,465,261880,Atelectasis,outcome
466,465,134118,Atrophic condition of skin,outcome
466,465,4224118,Bladder dysfunction,outcome
466,465,80509,Bone cyst,outcome
466,465,434626,Borderline personality disorder,outcome
466,465,438407,Bulimia nervosa,outcome
466,465,134765,Cachexia,outcome
466,465,4172458,Candidiasis of skin,outcome
466,465,436740,Cervical incompetence,outcome
466,465,381581,Chalazion,outcome
466,465,4307254,Closed fracture,outcome
466,465,4047787,Colles' fracture,outcome
466,465,198075,Condyloma acuminatum,outcome
466,465,73302,Curvature of spine,outcome
466,465,4242416,Cutis laxa,outcome
466,465,433163,Deficiency of macronutrients,outcome
466,465,4047269,Deformity of foot,outcome
466,465,133228,Dental caries,outcome
466,465,4147672,Disease due to Papilloma virus,outcome
466,465,4153380,Disorder of carotid artery,outcome
466,465,4140510,Disorder of lymphatic vessel,outcome
466,465,433440,Dysthymia,outcome
466,465,376132,Ectropion,outcome
466,465,440695,Encopresis,outcome
466,465,438872,Excessive eating - polyphagia,outcome
466,465,78804,Fibrocystic disease of breast,outcome
466,465,4131595,Fracture of radius,outcome
466,465,74855,Genital herpes simplex,outcome
466,465,441788,Human papilloma virus infection,outcome
466,465,76737,Hydrocele,outcome
466,465,4029582,Hyperandrogenization syndrome,outcome
466,465,195212,Hypercortisolism,outcome
466,465,438134,Hypersomnia,outcome
466,465,140362,Hypoparathyroidism,outcome
466,465,4322737,Infection of tooth,outcome
466,465,4207688,Infectious enteritis,outcome
466,465,79072,Inflammatory disorder of breast,outcome
466,465,139099,Ingrowing nail,outcome
466,465,4288544,Inguinal hernia,outcome
466,465,444191,Injury of face,outcome
466,465,444130,Injury of foot,outcome
466,465,134222,Injury of forearm,outcome
466,465,4029966,Intracranial aneurysm,outcome
466,465,437409,Intracranial injury,outcome
466,465,4297984,Local infection of wound,outcome
466,465,4018050,Localized infection,outcome
466,465,439840,Lymphangitis,outcome
466,465,4163232,Mastitis,outcome
466,465,440389,Mental retardation,outcome
466,465,436100,Narcolepsy,outcome
466,465,4262178,Neurogenic dysfunction of the urinary bladder,outcome
466,465,193874,Nocturnal enuresis,outcome
466,465,4171549,Nodular goiter,outcome
466,465,442274,Oligomenorrhea,outcome
466,465,4215978,Onychomycosis,outcome
466,465,4171915,Orchitis,outcome
466,465,380731,Otitis externa,outcome
466,465,378160,Otorrhea,outcome
466,465,192606,Paraplegia,outcome
466,465,253796,Pneumothorax,outcome
466,465,195501,Polycystic ovaries,outcome
466,465,4153877,Post-traumatic wound infection,outcome
466,465,434319,Premature ejaculation,outcome
466,465,373478,Presbyopia,outcome
466,465,199876,Prolapse of female genital organs,outcome
466,465,4295888,Prolapse of intestine,outcome
466,465,194997,Prostatitis,outcome
466,465,4146239,Pruritus of genital organs,outcome
466,465,4285569,Pupillary disorder,outcome
466,465,81336,Rectal prolapse,outcome
466,465,380395,Retinal dystrophy,outcome
466,465,141825,Simple goiter,outcome
466,465,137054,Skin striae,outcome
466,465,434630,Sleep-wake schedule disorder,outcome
466,465,4195698,Tenosynovitis,outcome
466,465,4339088,Testicular mass,outcome
466,465,133141,Tinea pedis,outcome
466,465,440814,Torticollis,outcome
466,465,435140,Toxic effect of alcohol,outcome
466,465,4270490,Tracheitis,outcome
466,465,4028970,Tracheobronchitis,outcome
466,465,193326,Urge incontinence of urine,outcome
466,465,4092565,Uterine prolapse,outcome
466,465,140641,Verruca vulgaris,outcome
466,465,197036,Vesicoureteric reflux,outcome
466,465,261326,Viral pneumonia,outcome
